"Lot #","Claim #",Status,Description,VIN,"Primary Damage","Secondary Damage",Keys,"Drivability Rating",Engine,Drive,"Missing Parts",Seller,Adjuster,"Cert Received Date",Odometer,"Odometer Brand","Original Title State","Original Title Type","Sale Title State","Sale Title Type","Title Reviewed","Sale Location","Physical Location","Auction Date","Item #","Row Location","# of Runs","Days in Yard","Advance Charges",ACV,"Repair Cost","Current Bid",Reserve,"Reserve Amount","Reserve %",Reviewed,"Auction Comment"
65592813,0,"READY FOR AUCTION","2022 GMC ACADIA DENALI",1GKKNXLS8NZ148873,"FRONT END",,YES,DRIVES,"3.6L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,9561,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,50945,0,0,BTBA,0,0,NO,
65591843,0,"READY FOR AUCTION","2023 HYUNDAI SANTA FE SEL PREMIUM",5NMS3DAJ0PH513659,"ALL OVER",,YES,DRIVES,"2.5L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,6100,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,37375,0,0,BTBA,0,0,NO,
65590353,0,"READY FOR AUCTION","2021 TOYOTA TACOMA DOUBLE CAB",3TYCZ5AN8MT031448,"FRONT END",,YES,DRIVES,"3.5L  6",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,14655,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,46790,0,0,BTBA,0,0,NO,
65522973,0,"READY FOR AUCTION","2023 GMC SIERRA ",1GT49PEY5PF165550,"FRONT END",,YES,DRIVES,"6.6L  8",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,7903,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/06/2023,0,0,0,0,0,89045,0,0,BTBA,0,0,NO,
65261593,0,"READY FOR AUCTION","2022 MAZDA CX-9 ",JM3TCBDY5N0612516,"FRONT END",,YES,DRIVES,"2.5L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,18552,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/06/2021,0,0,0,0,0,39649,0,0,BTBA,0,0,NO,
65257383,0,"READY FOR AUCTION","2019 CADILLAC XTS LIMOUSINE",2GEXG6U32K9550138,SIDE,,YES,DRIVES,"3.6L  6","Front-wheel Drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,17907,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/06/2023,0,0,0,0,0,98998,0,0,BTBA,0,0,NO,
65163273,0,"READY FOR AUCTION","2023 TOYOTA COROLLA CROSS L",7MUAAABG8PV050871,"FRONT END",,YES,DRIVES,"2.0L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,4882,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,31883,0,0,BTBA,0,0,NO,
65162043,0,"READY FOR AUCTION","2021 JEEP GRAND CHEROKEE TRACKHAWK",1C4RJFN91MC839559,VANDALISM,"ALL OVER",YES,NON-STARTS,NA,4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,111365,0,0,BTBA,0,0,NO,
65012723,0,"READY FOR AUCTION","2021 WESTERN STAR 5700 XE",5KJJBHDR4MLMJ2676,"FRONT END","REAR END",YES,NON-STARTS,"14.8L  6","Rear-wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/05/2021,0,0,0,0,0,133333,0,0,BTBA,0,0,NO,
65010583,0,"READY FOR AUCTION","2021 JEEP GRAND CHEROKEE TRACKHAWK",1C4RJFN92MC790307,"FRONT END",SIDE,YES,DRIVES,"6.2L  8",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,11182,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,104140,0,0,BTBA,0,0,NO,
65007223,0,"READY FOR AUCTION","2023 VOLKSWAGEN ATLAS SE",1V2KR2CA9PC500454,"FRONT END",,YES,DRIVES,"3.6L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,10508,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,47917,0,0,BTBA,0,0,NO,
65005333,0,"READY FOR AUCTION","2022 BMW X5 XDRIVE40I",5UXCR6C02N9M99631,"REAR END",ROOF,YES,DRIVES,"3.0L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,32996,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/05/2023,0,0,0,0,0,57750,0,0,BTBA,0,0,NO,
65003713,0,"READY FOR AUCTION","2023 CHEVROLET CAMARO SS",1G1FH3D76P0118990,"FRONT END",,YES,NON-STARTS,"6.2L  8","Rear-wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,64947,0,0,BTBA,0,0,NO,
64969713,0,"READY FOR AUCTION","2020 CHEVROLET TRAVERSE LT",1GNEVHKW2LJ199081,"FRONT END",,YES,DRIVES,"3.6L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,35759,Actual,NY,"MV-907A SALVAGE CERTIFICATE",NY,"MV-907A SALVAGE CERTIFICATE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/05/2023,0,0,0,0,0,31047,0,0,BTBA,0,0,NO,
64771683,0,"READY FOR AUCTION","2023 LEXUS GX 460 LUXURY",JTJGM7BX6P5341967,"FRONT END",,YES,DRIVES,"4.6L  8","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,12047,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,77530,0,0,BTBA,0,0,NO,
64769243,0,"READY FOR AUCTION","2021 NISSAN ROGUE ",5N1AT3BB0MC782473,"ALL OVER",,YES,NON-STARTS,"2.5L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/01/2021,0,0,0,0,0,30360,0,0,BTBA,0,0,NO,
64768543,0,"READY FOR AUCTION","2022 TOYOTA TUNDRA ",5TFLA5DBXNX054049,"FRONT END",,YES,NON-STARTS,"3.5L  6",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,8509,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,59734,0,0,BTBA,0,0,NO,
64659873,0,"READY FOR AUCTION","2015 INFINITI Q70 3.7",JN1BY1AP9FM542737,ROOF,,YES,NON-STARTS,"3.7L  6","Rear-wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,136167,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/31/2021,0,0,0,0,0,14874,0,0,BTBA,0,0,NO,
64587913,0,"READY FOR AUCTION","2023 JEEP WRANGLER RUBICON",1C4JJXFG3PW654187,ROOF,"FRONT END",YES,DRIVES,"3.6L  6",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,5299,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/31/2023,0,0,0,0,0,69252,0,0,BTBA,0,0,NO,
64589423,0,"READY FOR AUCTION","2021 POLARIS SLINGSHOT ",57XAARGB6M8145829,"FRONT END",,YES,NON-STARTS,4,"Rear wheel",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/30/2021,0,0,0,0,0,35832,0,0,BTBA,0,0,NO,
64331873,0,"READY FOR AUCTION","2020 JEEP GRAND CHEROKEE LIMITED",1C4RJFBG7LC218327,"FRONT END",,YES,NON-STARTS,"3.6L  6",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,21845,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,32671,0,0,BTBA,0,0,NO,
64330673,0,"READY FOR AUCTION","2020 FORD RANGER STX",1FTER1FH1LLA24566,"FRONT END",,YES,DRIVES,"2.3L  4",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,40947,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/12/2021,0,0,0,0,0,33717,0,0,BTBA,0,0,NO,
64325933,0,"READY FOR AUCTION","2021 MERCEDES-BENZ GLA 250 4MATIC",W1N4N4HBXMJ190513,"FRONT END",,YES,DRIVES,"2.0L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,27403,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/31/2023,0,0,0,0,0,39254,0,0,BTBA,0,0,NO,
64118273,0,"READY FOR AUCTION","2022 FORD MAVERICK XL",3FTTW8E32NRA80051,"REAR END",,YES,DRIVES,"2.5L  4","Front-wheel Drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,3275,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,38522,0,0,BTBA,0,0,NO,
64116403,0,"READY FOR AUCTION","2021 RANGE ROVER VELAR R-DYNAMIC S",SALYT2EX9MA304948,VANDALISM,,YES,STARTS,"2.0L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,28375,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/05/2023,0,0,0,0,0,66783,0,0,BTBA,0,0,NO,
64115903,0,"READY FOR AUCTION","2022 FORD MAVERICK XL",3FTTW8E31NRA24599,"FRONT END",,YES,DRIVES,"2.5L  4","Front-wheel Drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,13400,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/29/2023,0,0,0,0,0,44385,0,0,BTBA,0,0,NO,
64111813,0,"READY FOR AUCTION","2023 SUBARU CROSSTREK SPORT",JF2GTHRC1PH295981,"FRONT END",,YES,DRIVES,"2.5L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,7763,Actual,NY,"MV-907A SALVAGE CERTIFICATE",NY,"MV-907A SALVAGE CERTIFICATE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/29/2023,0,0,0,0,0,32088,0,0,BTBA,0,0,NO,
64011233,0,"READY FOR AUCTION","2022 TESLA MODEL Y ",7SAYGDEF2NF449484,SIDE,,YES,DRIVES,EV,"All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,12918,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/05/2023,0,0,0,0,0,57227,0,0,BTBA,0,0,NO,
64010783,0,"READY FOR AUCTION","2021 HONDA PILOT TOURING",5FNYF6H62MB031237,"ALL OVER",,YES,DRIVES,"3.5L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,36802,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,37747,0,0,BTBA,0,0,NO,
64007113,0,"READY FOR AUCTION","2023 AUDI Q5 PREMIUM 45",WA1GAAFY3P2013574,"MINOR DAMAGE",,YES,DRIVES,"2.0L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,2785,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,57024,0,0,BTBA,0,0,NO,
63735293,0,"READY FOR AUCTION","2022 ACURA MDX A-SPEC",5J8YE1H09NL049767,SIDE,,YES,DRIVES,"3.5L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,6646,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/24/2023,0,0,0,0,0,54847,0,0,BTBA,0,0,NO,
63734793,0,"READY FOR AUCTION","2022 BMW 740I ",WBA7T2C05NCH09767,"WATER FLOOD",,YES,DRIVES,"3.0L  6","Rear-wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,16221,Actual,NJ,"CERTIFICATE OF DESTRUCTION",NJ,"CERTIFICATE OF DESTRUCTION",NO,"NY - NEWBURGH","NY - NEWBURGH",08/24/2023,0,0,0,0,0,75044,0,0,BTBA,0,0,NO,
63734143,0,"READY FOR AUCTION","2021 RAM 1500 REBEL",1C6SRFLT2MN570900,SIDE,,YES,DRIVES,"5.7L  8",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,64819,Actual,NY,"MV-907A SALVAGE CERTIFICATE",NY,"MV-907A SALVAGE CERTIFICATE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/24/2023,0,0,0,0,0,47665,0,0,BTBA,0,0,NO,
63733483,0,"READY FOR AUCTION","2023 HONDA ACCORD EX",1HGCY1F39PA019892,"FRONT END",,YES,DRIVES,"1.5L  4","Front-wheel Drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,6212,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,35399,0,0,BTBA,0,0,NO,
63731803,0,"READY FOR AUCTION","2022 TOYOTA SIENNA LE",5TDKRKECXNS103265,"FRONT END",,YES,NON-STARTS,"2.5L  4","Front-wheel Drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/31/2023,0,0,0,0,0,41395,0,0,BTBA,0,0,NO,
63182573,0,"READY FOR AUCTION","2021 RANGE ROVER VELAR R-DYNAMIC S",SALYT2EXXMA316882,"FRONT END",,YES,DRIVES,"2.0L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,18468,Actual,NY,"MV-907A SALVAGE CERTIFICATE",NY,"MV-907A SALVAGE CERTIFICATE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/29/2023,0,0,0,0,0,53981,0,0,BTBA,0,0,NO,
62904693,0,"READY FOR AUCTION","2023 CADILLAC ESCALADE ESV SPORT PLATINUM",1GYS4RKT3PR246792,SIDE,"FRONT END",YES,DRIVES,"3.0L  6",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,4910,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/24/2023,0,0,0,0,0,146823,0,0,BTBA,0,0,NO,
63475953,0,"READY FOR AUCTION","2022 TOYOTA 4RUNNER TRD",JTELU5JR3N6083614,"ALL OVER",,YES,NON-STARTS,"4.0L  6",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,11639,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/24/2023,0,0,0,0,0,61328,0,0,BTBA,0,0,NO,
63475633,0,"READY FOR AUCTION","2022 GMC TERRAIN SLE",3GKALTEVXNL178871,"REAR END",,YES,DRIVES,"1.5L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,22705,Actual,NJ,"CERTIFICATE OF TITLE",NJ,"CERTIFICATE OF TITLE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/22/2023,0,0,0,0,0,28908,0,0,BTBA,0,0,NO,
63475273,0,"READY FOR AUCTION","2020 HYUNDAI PALISADE SEL",KM8R3DHE3LU094177,"FRONT END",,YES,DRIVES,"3.8L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,32849,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/22/2023,0,0,0,0,0,39019,0,0,BTBA,0,0,NO,
63474933,0,"READY FOR AUCTION","2023 TOYOTA TUNDRA CREWMAX PLATINUM",5TFNA5DBXPX072644,"FRONT END",,YES,DRIVES,"3.5L  6",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,4502,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/22/2023,0,0,0,0,0,76557,0,0,BTBA,0,0,NO,
63473843,0,"READY FOR AUCTION","2023 NISSAN MURANO SV",5N1AZ2BS5PC127688,"ALL OVER",,YES,DRIVES,"3.5L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,1460,Actual,NY,"MV-907A SALVAGE CERTIFICATE",NY,"MV-907A SALVAGE CERTIFICATE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/05/2023,0,0,0,0,0,45375,0,0,BTBA,0,0,NO,
63184723,0,"READY FOR AUCTION","2024 LEXUS NX 250 ",2T2GDCAZ1RC006633,ROLLOVER,,YES,DRIVES,"2.5L  4","Front-wheel Drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,9969,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/22/2023,0,0,0,0,0,48675,0,0,BTBA,0,0,NO,
63180493,0,"READY FOR AUCTION","2022 HONDA CIVIC ",2HGFE1F79NH321836,"FRONT END",,YES,NON-STARTS,"1.5L  4","Front-wheel Drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/22/2021,0,0,0,0,0,30724,0,0,BTBA,0,0,NO,
63085123,0,"READY FOR AUCTION","2020 TOYOTA 4RUNNER ",JTEBU5JR3L5784815,"FRONT END",,YES,DRIVES,"4.0L  6",4x4,NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,16399,"Not actual",NJ,"SCRAP CERTIFICATE OF TITLE",NJ,"SCRAP CERTIFICATE OF TITLE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/22/2023,0,0,0,0,0,51484,0,0,BTBA,0,0,NO,
63106013,0,"READY FOR AUCTION","2021 BMW X6 XDRIVE40I",5UXCY6C00M9E08487,"FRONT END",,YES,DRIVES,"3.0L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,34000,"Not Actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",08/22/2023,0,0,0,0,0,64659,0,0,BTBA,0,0,NO,
